"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"PETISCARIA E RESTAURANTE BAR LTDA EPP";"CEARÁ BAR";"06.162.902/0001-00";"Sociedade Empresária";"22/03/2004";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";29065340;"ES";"Vitória";"Mata da Praia";"AV DESEMBARGADOR DEMERVAL LÍRIO";"(27) 3327-4665";"(27) 3323-0333";"cearabarmp@gmail.com";"";"WWW.CEARABAR.COM.BR";"08.035990.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";150;"(""Nenhuma das Opções"")"
"PETISCARIA ILHA DE PORTO BELO LTDA ME";"PETISCARIA ILHA DE PORTO BELO";"01.605.097/0001-29";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88210000;"SC";"Porto Belo";"Porto Belo";"ILHA JOAO DA CUNHA SN";"(47) 3369-1312";"(47) 3369-1312";"";"";"";"24.038059.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"PETISCARIA SELF SERVICE LTDA";"PETISCARIA SELF SERVICE";"08.752.910/0001-32";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";86300000;"PR";"Cornélio Procópio";"Cornélio Procópio";"RUA COLOMBO, 287";"(43) 3523-3659";"(43) 3523-5131";"claudio_begara@hotmail.com";"";"";"18.043865.15.0001-3";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"PETISCO DO JOKA LTDA ME";"PETISCO DO JOKA";"10.829.278/0001-20";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79750000;"MS";"Nova Andradina";"Nova Andradina";"AV. ANTONIO JOAQUIM DE MOURA ANDRADE, 721";"(67) 3441-6803";"";"";"";"";"12.038201.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PETISCO E LANCHE CANTAGALO LTDA-ME";"PETISCO E LANCHE CANTAGALO";"10.488.058/0001-80";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";28500000;"RJ";"Cantagalo";"Cantagalo";"RUA LEONTINO FELIPE RICHA, 186 SALA 12";"(22) 2555-4141";"";"";"";"";"19.038255.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;"("""")"
"PETISQUEIRA PORTUGUESA LTDA ME";"PETISQUEIRA PORTUGUESA LTDA ME";"10.555.208/0001-20";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";13820000;"SP";"Jaguariúna";"Jaguariúna";"RUA JOSE ALVES GUEDES,  1332";"(19) 3837-2902";"";"escserrano@uol.com.br";"";"";"26.038435.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Francês,Inglês"")"
"PETIT RIBEIRÃO - COMÉRCIO DE ALIMENTOS LTDA.";"PETIT RIBEIRÃO - COMÉRCIO DE ALIMENTOS LTDA";"03.393.384/0001-48";"Sociedade Empresária";"01/04/2001";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";14010160;"SP";"Ribeirão Preto";"Centro";"RUA SÃO JOSÉ, 933 - 3º PISO - LOJA 314";"(16) 2102-7510";"";"";"";"";"26.038059.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PETUTES ALIMENTOS LTDA";"DUDU BAR";"02.107.004/0001-07";"Sociedade Empresária";"15/09/1997";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70336510;"DF";"Brasília";"Asa Sul";"SHICS CL QD. 303 BLOCO A LOJA 03";"(61) 3224-7179";"(61) 3225-2010";"";"";"";"07.037583.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"PHILADELPHIA CHOPERIA LTDA ME";"PHILADELPHIA";"01.125.554/0001-88";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";3318000;"SP";"São Paulo";"Vila Gomes Cardim";"RUA SERRA DE BRAGANCA 626";"(11) 2295-4965";"";"";"";"";"26.038061.15.0001-7";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;"("""")"
"PHILADELPHIA PIZZA GRILL LTDA ME";"PHILADELPHIA PIZZA GRILL LTDA ME";"03.280.175/0001-98";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";3317000;"SP";"São Paulo";"Vila Gomes Cardim";"RUA SERRA DE BOTUCATU 14";"(11) 2293-0891";"";"";"";"";"26.038062.15.0001-4";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(""Inglês,Espanhol"")"
"PHJ RESTAURANTE LTDA";"SUBWAY";"10.306.037/0001-04";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";85851110;"PR";"Foz do Iguaçu";"Centro";"AV. JORGE SCHIMMELPFENG, 230";"(45) 3025-7717";"";"";"";"";"18.038471.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"PIANZOLLI E LIMA LTDA";"LANCHONETE E RESTAURANTE AGUIA BRANCA";"27.585.819/0001-14";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29278000;"ES";"Aracê";"Aracê";"ROD BR 262,KM 95,SN";"(27) 3248-1314";"(27) 3248-1151";"cimapianzola@hotmail.com";"";"";"08.038059.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário), 5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário)";;"("""")"
"PIAZZA E LIMA RESTAURANTE E POUSADA LTDA ME";"CANTINA JERI";"09.426.150/0001-36";"Sociedade Empresária";"18/03/2008";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62598000;"CE";"Jijoca de Jericoacoara";"Jijoca de Jericoacoara";"RUA DO FORRÓ S/N";"(88) 8839-6340";"(85) 9926-4480";"anaforce@hotmail.com";"";"";"06.029603.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;"(""Inglês,Italiano"")"
"PICANHA DO COWBOY LTDA - ME";"PICANHA DO COWBOY";"00.079.570/0001-19";"Sociedade Empresária";"27/07/1994";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";60160230;"CE";"Fortaleza";"Meireles";"AV. DOM LUÍS,685 LOJA 1 E 2";"(85) 3267-1863";"(85) 3267-1863";"ossian@picanhadocowboy.com.br";"";"WWW.PICANHADOCOWBOY.COM.BR";"06.036567.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"("""")"
"PICOLLO PRANZO LANCHES LTDA";"PICOLLO PRANZO LANCHES";"29.478.971/0001-23";"Sociedade Empresária";"21/10/1977";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";20551031;"RJ";"Rio de Janeiro";"Vila Isabel";"AV. 28 DE SETEMBRO, Nº 246";"(21) 2576-6840";"(21) 2576-6840";"";"";"";"19.036262.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIFFER & CIA LTDA ME";"RESTAURANTE INDAIA";"09.168.944/0001-47";"Sociedade Empresária";"30/10/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88220000;"SC";"Itapema";"Itapema";"RUA 900, N 1300, SERTAOZINHO";"(47) 3368-2745";"(47) 3261-7730";"";"";"WWW.RESTAURANTEINDAIA.COM.BR";"24.038059.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIFFERPRODUTOS ALIMENTÍCIOS LTDA";"PIFFER TORTERIA E BISTRÔ";"02.470.393/0001-22";"Sociedade Empresária";"12/01/1998";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22271091;"RJ";"Rio de Janeiro";"Botafogo";"RUA VISCONDE SILVA 21 E 23";"(21) 2527-5151";"";"";"";"WWW.PIFFER.COM";"19.035945.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"PILEQUINHO LTDA ME";"PILEQUINHO RESTAURANTE";"07.339.900/0001-07";"Sociedade Empresária";"22/04/2010";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";83260000;"PR";"Matinhos";"Matinhos";"AVENIDA PARANAGUÁ, 210 BOM RETIRO";"(41) 3453-2882";"41";"";"";"";"18.036121.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"PIMENTEIRA IMPERIAL BAR E RESTAURANTE LTDA";"PIMENTEIRA IMPERIAL";"07.175.778/0001-80";"Sociedade Empresária";"18/08/2004";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";25730736;"RJ";"Petrópolis";"Itaipava";"UNIÃO INDÚSTRIA, Nº 10.126 LOJA 23/24/25";"(24) 2222-7019";"(24) 2222-7019";"";"";"";"19.036015.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"PINA & LORENTZ LTDA";"PINA & LORENTZ";"02.692.860/0001-69";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";36026500;"MG";"Juiz de Fora";"Passos";"AV. BARO DO RIO BRANCO, 5001 LJ 06 GRAMINHA";"(32) 3226-9827";"(35) 3364-1207";"";"";"WWW.SERRAVERDE.COM.BR";"11.038430.15.0001-2";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;"("""")"
"PINGO DE MEL REFRESCOS LTDA";"PINGO DE MEL";"33.066.119/0001-16";"Sociedade Empresária";"12/08/1996";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";20211250;"RJ";"Rio de Janeiro";"Estácio";"PC. CRISTIANO OTTONI, SN ETC PEDRO I I L5";"(21) 2233-2480";"";"";"";"";"19.037855.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"PIP´S RESTAURANTE LTDA";"PIP´S";"72.136.369/0001-37";"Sociedade Empresária";"01/03/1993";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95180000;"RS";"Farroupilha";"Farroupilha";"RUA PINHEIRO MACHADO, N 208 SALA 20 GAL. MERLIN";"(54) 3401-2283";"(54) 3035-1721";"";"";"";"23.034639.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIPA - COMÉRCIO DE ALIMENTOS LTDA. - ME";"PIPA - COMÉRCIO DE ALIMENTOS LTDA. - ME";"08.404.299/0001-51";"Sociedade Empresária";"01/12/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";14096350;"SP";"Ribeirão Preto";"Ribeirânia";"AVENIDA PRESIDENTE KENNEDY,  Nº1.500 / ÂNCORA S-09 / LOJA 01";"(16) 3625-2906";"";"";"";"";"26.041160.15.0001-7";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"PIR COMÉRCIO LTDA";"HAUS MUCHEM";"04.582.585/0001-56";"Sociedade Empresária";"19/12/1908";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30180061;"MG";"Belo Horizonte";"Barro Preto";"RUA JUIZ DE FORA, 1257, SANTO AGOSTINHO";"(31) 3291-6900";"(31) 3297-5113";"";"";"www.hausmuchem.com.br";"11.040461.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIRANDELLO CHURRASCARIA LTDA - ME";"PIRANDELLO GALETO E CHURRASCARIA";"95.766.424/0001-78";"Sociedade Empresária";"01/11/1982";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88801500;"SC";"Criciúma";"Centro";"AV GETÚLIO VARGAS,N 417";"(48) 3439-3434";"";"";"";"";"24.037003.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"PIRATA BAR TURISMO E PROMOÇÕES LTDA - EPP";"*****************************************";"11.084.076/0001-69";"Sociedade Empresária";"21/11/1986";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";60060510;"CE";"Fortaleza";"Centro";"RUA DOS TABAJARAS, 325";"(85) 4011-6161";"(85) 4011-6161";"pirata@pirata.com.br";"";"www.pirata.com.br";"06.033632.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";600;"(""Francês,Inglês"")"
"PITÁGORAS - COMÉRCIO DE ALIMENTOS LTDA - EPP";"VILLA FONTANA";"05.310.316/0001-01";"Sociedade Empresária";"01/10/2002";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";86020080;"PR";"Londrina";"Centro";"AVENIDA HIGIENÓPOLIS, 479";"(43) 3324-8181";"(43) 3324-8181";"";"";"WWW.VILLAFONTANA.COM.BR";"18.037149.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Japonês"")"
"PIZZA BOA COMERCIO DE ALIMENTOS LTDA";"PEDACINHO & SO SAÚDE";"08.362.406/0001-26";"Sociedade Empresária";"01/11/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70744520;"DF";"Brasília";"Asa Norte";"SHCN 108 BLOCO B LOJAS 04/08 E 74 TÉRREO";"(61) 3349-1060";"(61) 3349-0010";"propostanorte@pedacinho.com.br";"";"www.pedacinho.com.br";"07.036922.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Nenhuma das Opções"")"
"PIZZA EM CASA PIZZARIA E LANCHONETE LTDA";"PIZZA EM CASA";"03.954.184/0001-17";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76803888;"RO";"Porto Velho";"Liberdade";"RUA ABUNA, 2954";"(69) 3229-4040";"(69) 3229-6060";"";"";"";"21.038223.15.0001-8";"5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"PIZZA MIA LTDA";"PIZZA MIA";"10.480.165/0001-61";"Sociedade Empresária";"20/11/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";33400000;"MG";"Lagoa Santa";"Lagoa Santa";"RUA A, 496";"(31) 3689-4900";"";"";"";"WWW.PIZZAMIALAGOA.COM.BR";"11.037829.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZANELLI EVENTOS LTDA ME";"JC EVENTOS";"09.130.239/0001-50";"Sociedade Empresária";"11/08/2008";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";88015720;"SC";"Florianópolis";"Centro";"RUA FORTE SANTANA, 405";"(48) 3225-3138";"(48) 3225-3138";"scunabar@terra.com.br";"";"www.pier54.com.br";"24.034021.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";240;"(""Inglês,Espanhol"")"
"PIZZARIA  PARMA  LTDA-EPP";"MISTER  PIZZA";"05.279.091/0001-60";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29100450;"ES";"Vila Velha";"Centro";"AV.CARIOCA, 353 L 220 C, PRAIA DA COSTA.";"(27) 3399-9167";"(27) 3399-9167";"misterpizza_@hotmail.com";"";"";"08.043948.15.0001-7";"5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Primário)";0;"("""")"
"PIZZARIA ÁGUA VIVA LTDA EPP";"PIZZARIA ÁGUA VIVA";"31.738.669/0001-09";"Sociedade Empresária";"14/03/1988";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29700010;"ES";"Colatina";"Centro";"AVENIDA GETÚLIO VARGAS 126";"(27) 3722-4853";"";"marlenecosta2009@hotmail.com";"";"";"08.036112.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"PIZZARIA AMARAL LTDA";"PIZZARIA AVENIDA";"07.700.413/0001-28";"Sociedade Empresária";"10/11/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30620330;"MG";"Belo Horizonte";"Milionários";"AV. OLINTO MEIRELES, 2380 LOJA C - SANTA HELENA ";"(XX) 3336-9393";"";"";"";"";"11.036679.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA BELLA'ITALIA LTDA-ME";"PIZZARIA BELLA'ITALIA";"03.979.110/0001-35";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";64208015;"PI";"Parnaíba";"Piauí";"AV SAO SEBASTIAO 3030";"(86) 3323-4058";"(86) 9977-0812";"";"";"";"17.038754.15.0001-1";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"PIZZARIA BELLA BLU LTDA";"PIZZARIA BELLA BLU";"42.547.802/0001-66";"Sociedade Empresária";"11/09/1967";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22031070;"RJ";"Rio de Janeiro";"Copacabana";"RUA SIQUEIRA CAMPOS, N° 107 LOJAS A E B";"(XX) 2548-0729";"(XX) 2548-0729";"";"";"";"19.036747.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"PIZZARIA BOKA'S LTDA";"STALINHO";"01.024.777/0001-59";"Sociedade Empresária";"18/12/1984";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70077900;"DF";"Brasília";"Asa Norte";"SDS CONJUNTO A LOJA 2044  CONJ. NASC. BRASILIA ";"(61) 3964-3758";"(61) 3201-5965";"";"";"";"07.037675.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"PIZZARIA CAPRI LTDA -ME";"MISTER PIZZA";"10.470.600/0001-77";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29055460;"ES";"Vitória";"Praia do Canto";"RUA JOAQUIM LÍRIO, 671";"(27) 3024-2091";"";"misterpizza_@gmail.com";"";"";"08.042545.15.0001-9";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Secundário)";;"("""")"
"PIZZARIA CHALÉ LTDA ME";"PIZZARIA CASTELO";"00.703.651/0001-48";"Sociedade Empresária";"29/06/1995";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29190062;"ES";"Aracruz";"Centro Empresarial";"RUA PROFESSOR LOBO, SN";"(27) 3256-2383";"(27) 3256-2383";"pizzariachale@bol.com.br";"";"";"08.033791.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;"(""Nenhuma das Opções"")"
"PIZZARIA CHAPA QUENTE LTDA";"PIZZARIA, RESTAURANTE, LANCHETERIA CHAPA QUENTE";"11.379.136/0001-70";"Sociedade Empresária";"25/11/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";45816000;"BA";"Arraial D'Ajuda";"Centro";"ESTRADA PARA TRANCOSO KM-2, Nº 2281";"";"";"";"";"";"05.037723.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA CIPÓ BRASIL LTDA";"PIZZARIA CIPÓ BRASIL";"04.095.510/0001-40";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";59090720;"RN";"Natal";"Ponta Negra";"RUA ARISTIDES PORPINO FILHO, 3111 ";"(84) 3219-5227";"(84) 3219-5227";"alexandrepizza@hotmail.com";"";"";"20.041276.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"PIZZARIA D'AMPEZZO LTDA-EPP";"MISTER PIZZA";"39.275.789/0001-29";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29050420;"ES";"Vitória";"Enseada do Suá";"AV AMÉRICO BUAIZ , 200,LJ 265";"(27) 3324-3114";"";"misterpizza_@hotmail.com";"";"";"08.043945.15.0001-5";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";0;"("""")"
"PIZZARIA DANIELLY LTDA -  ME";"MEGA PIZZA";"07.826.030/0001-09";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85856000;"PR";"Foz do Iguaçu";"Jardim Esmeralda";"AV REPUBLICA ARGENTINA, 3901";"(45) 3027-7575";"(45) 3027-7575";"leandrop.cic@gmail.com";"";"";"18.040651.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA DI CAPRIO LTDA.";"DI CAPRIO PIZZARIA";"02.667.225/0001-21";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";86039290;"PR";"Londrina";"Antares";"AV. SAO JOAO, 1330";"(43) 3356-3006";"";"";"";"www.dicapriopizzaria.com.br";"18.038635.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA E RESTAURANTE CASANOVA DE ANGRA LTDA-ME";"CASANOVA DE ANGRA";"39.164.835/0001-12";"Sociedade Empresária";"02/03/1994";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";23906200;"RJ";"Angra dos Reis";"Balneário";"RUA CORONEL OTÁVIO BRASIL, Nº 70 C/RUA LIDIA COUTINHO, 85";"(24) 3365-4506";"";"";"";"";"19.036124.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA FLAMBOYANT LTDA. - ME";"PIZZARIA FLAMBOYANT";"03.349.001/0001-34";"Sociedade Empresária";"16/08/1999";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";57045140;"AL";"Maceió";"Barro Duro";"AV. PRES. GETULIO VARGAS, 455";"(82) 3338-2889";"";"";"";"";"02.035712.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Espanhol,Italiano"")"
"PIZZARIA FORNO DIPEDRA LTDA";"PIZZARIA FORNO DIPEDRA";"10.799.384/0001-08";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74474310;"GO";"Goiânia";"Residencial Recanto do Bosque";"AV. GOIÁS N. 12807 QD 09 LT 14";"(62) 3517-3496";"(62) 8592-5023";"brazilivan@msn.com";"";"";"09.040778.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Inglês,Italiano,Espanhol"")"
"PIZZARIA GORDEIO'S LTDA-EPP";"PIZZARIA GORDEIXO";"24.906.646/0001-09";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70745520;"DF";"Brasília";"Asa Norte";"SCLN  306 BLOCO B LOJA 13 , 23 E 29";"(61) 3273-8525";"";"";"";"";"07.038059.15.0001-9";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";;"(Inglês)"
"PIZZARIA GOURMET LTDA";"MERCATU PIZZARIA";"11.973.244/0001-77";"Sociedade Empresária";"12/05/2010";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80240041;"PR";"Curitiba";"Água Verde";"AVENIDA PRESIDENTE GETÚLIO VARGAS, 3179";"(41) 3243-4848";"(41) 3359-4448";"";"";"MERCATU.COM.BR";"18.036378.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA JARDIM DO LAGO LTDA";"PIZZARIA JARDIM DO LAGO ";"07.421.516/0001-59";"Sociedade Empresária";"10/05/2005";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";92020240;"RS";"Canoas";"Marechal Rondon";"RUA LIBERDADE 39 SOBRELOJA - CANOAS RS";"(51) 3059-1009";"";"";"";"";"23.037341.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Italiano"")"
"PIZZARIA KI BRAZÃO LTDA EPP";"PIZZARIA KI BRAZAO";"02.512.428/0001-49";"Sociedade Empresária";"30/04/1998";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29102040;"ES";"Vila Velha";"Praia de Itaparica";"AV SANTA LEOPOLDINA 805 LJ A";"(27) 3349-1728";"";"";"";"WWW.KIBRAZAO.COM.BR";"08.037262.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA MASCARENHAS LTDA ME";"PIZZARELA";"05.401.241/0001-66";"Sociedade Empresária";"28/11/2002";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58031220;"PB";"João Pessoa";"Pedro Gondim";"AV EPITACIO PESSOA 2679 SALA 03";"(XX) 3244-5545";"";"";"";"";"15.037037.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"PIZZARIA MONTE GRAPPA LTDA EPP";"MONTE GRAPPA";"30.570.550/0001-07";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29375000;"ES";"Venda Nova do Imigrante";"Venda Nova do Imigrante";"RUA PADRE EMILIO BERTOLDERO, 20";"(28) 3546-1777";"(28) 3546-2941";"";"";"";"08.039308.15.0001-2";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Italiano)"
